District,Date,Month,Year,Visitors
Adilabad,01-01-2016,January,2016,2
Adilabad,02-01-2016,February,2016,0
Adilabad,03-01-2016,March,2016,2
Adilabad,04-01-2016,April,2016,0
Adilabad,05-01-2016,May,2016,0
Adilabad,06-01-2016,June,2016,0
Adilabad,07-01-2016,July,2016,4
Adilabad,08-01-2016,August,2016,2
Adilabad,09-01-2016,September,2016,0
Adilabad,10-01-2016,October,2016,0
Adilabad,11-01-2016,November,2016,0
Adilabad,12-01-2016,December,2016,0
Bhadradri Kothagudem ,01-01-2016,January,2016,NULL
Bhadradri Kothagudem ,02-01-2016,February,2016,NULL
Bhadradri Kothagudem ,03-01-2016,March,2016,NULL
Bhadradri Kothagudem ,04-01-2016,April,2016,NULL
Bhadradri Kothagudem ,05-01-2016,May,2016,NULL
Bhadradri Kothagudem ,06-01-2016,June,2016,NULL
Bhadradri Kothagudem ,07-01-2016,July,2016,NULL
Bhadradri Kothagudem ,08-01-2016,August,2016,NULL
Bhadradri Kothagudem ,09-01-2016,September,2016,NULL
Bhadradri Kothagudem ,10-01-2016,October,2016,0
Bhadradri Kothagudem ,11-01-2016,November,2016,0
Bhadradri Kothagudem ,12-01-2016,December,2016,0
Hyderabad,01-01-2016,January,2016,15865
Hyderabad,02-01-2016,February,2016,29646
Hyderabad,03-01-2016,March,2016,13019
Hyderabad,04-01-2016,April,2016,8402
Hyderabad,05-01-2016,May,2016,8522
Hyderabad,06-01-2016,June,2016,10284
Hyderabad,07-01-2016,July,2016,17142
Hyderabad,08-01-2016,August,2016,12842
Hyderabad,09-01-2016,September,2016,9397
Hyderabad,10-01-2016,October,2016,12808
Hyderabad,11-01-2016,November,2016,8084
Hyderabad,12-01-2016,December,2016,17620
Jagtial ,01-01-2016,January,2016,NULL
Jagtial ,02-01-2016,February,2016,NULL
Jagtial ,03-01-2016,March,2016,NULL
Jagtial ,04-01-2016,April,2016,NULL
Jagtial ,05-01-2016,May,2016,NULL
Jagtial ,06-01-2016,June,2016,NULL
Jagtial ,07-01-2016,July,2016,NULL
Jagtial ,08-01-2016,August,2016,NULL
Jagtial ,09-01-2016,September,2016,NULL
Jagtial ,10-01-2016,October,2016,0
Jagtial ,11-01-2016,November,2016,0
Jagtial ,12-01-2016,December,2016,0
Jangaon ,01-01-2016,January,2016,NULL
Jangaon ,02-01-2016,February,2016,NULL
Jangaon ,03-01-2016,March,2016,NULL
Jangaon ,04-01-2016,April,2016,NULL
Jangaon ,05-01-2016,May,2016,NULL
Jangaon ,06-01-2016,June,2016,NULL
Jangaon ,07-01-2016,July,2016,NULL
Jangaon ,08-01-2016,August,2016,NULL
Jangaon ,09-01-2016,September,2016,NULL
Jangaon ,10-01-2016,October,2016,0
Jangaon ,11-01-2016,November,2016,2
Jangaon ,12-01-2016,December,2016,0
Jayashankar Bhoopalpally,01-01-2016,January,2016,NULL
Jayashankar Bhoopalpally,02-01-2016,February,2016,NULL
Jayashankar Bhoopalpally,03-01-2016,March,2016,NULL
Jayashankar Bhoopalpally,04-01-2016,April,2016,NULL
Jayashankar Bhoopalpally,05-01-2016,May,2016,NULL
Jayashankar Bhoopalpally,06-01-2016,June,2016,NULL
Jayashankar Bhoopalpally,07-01-2016,July,2016,NULL
Jayashankar Bhoopalpally,08-01-2016,August,2016,NULL
Jayashankar Bhoopalpally,09-01-2016,September,2016,NULL
Jayashankar Bhoopalpally,10-01-2016,October,2016,24
Jayashankar Bhoopalpally,11-01-2016,November,2016,22
Jayashankar Bhoopalpally,12-01-2016,December,2016,40
Jogulamba Gadwal ,01-01-2016,January,2016,NULL
Jogulamba Gadwal ,02-01-2016,February,2016,NULL
Jogulamba Gadwal ,03-01-2016,March,2016,NULL
Jogulamba Gadwal ,04-01-2016,April,2016,NULL
Jogulamba Gadwal ,05-01-2016,May,2016,NULL
Jogulamba Gadwal ,06-01-2016,June,2016,NULL
Jogulamba Gadwal ,07-01-2016,July,2016,NULL
Jogulamba Gadwal ,08-01-2016,August,2016,NULL
Jogulamba Gadwal ,09-01-2016,September,2016,NULL
