District,Date,Month,Year,Visitors
Adilabad,01-01-2016,January,2016,792138
Adilabad,02-01-2016,February,2016,937820
Adilabad,03-01-2016,March,2016,582948
Adilabad,04-01-2016,April,2016,341948
Adilabad,05-01-2016,May,2016,252887
Adilabad,06-01-2016,June,2016,368237
Adilabad,07-01-2016,July,2016,447566
Adilabad,08-01-2016,August,2016,614287
Adilabad,09-01-2016,September,2016,491279
Adilabad,10-01-2016,October,2016,94184
Adilabad,11-01-2016,November,2016,99148
Adilabad,12-01-2016,December,2016,53125
Bhadradri Kothagudem ,01-01-2016,January,2016,NULL
Bhadradri Kothagudem ,02-01-2016,February,2016,NULL
Bhadradri Kothagudem ,03-01-2016,March,2016,NULL
Bhadradri Kothagudem ,04-01-2016,April,2016,NULL
Bhadradri Kothagudem ,05-01-2016,May,2016,NULL
Bhadradri Kothagudem ,06-01-2016,June,2016,NULL
Bhadradri Kothagudem ,07-01-2016,July,2016,NULL
Bhadradri Kothagudem ,08-01-2016,August,2016,NULL
Bhadradri Kothagudem ,09-01-2016,September,2016,NULL
Bhadradri Kothagudem ,10-01-2016,October,2016,310133
Bhadradri Kothagudem ,11-01-2016,November,2016,252127
Bhadradri Kothagudem ,12-01-2016,December,2016,326770
Hyderabad,01-01-2016,January,2016,1138375
Hyderabad,02-01-2016,February,2016,808394
Hyderabad,03-01-2016,March,2016,1030813
Hyderabad,04-01-2016,April,2016,1136140
Hyderabad,05-01-2016,May,2016,1295703
Hyderabad,06-01-2016,June,2016,12042945
Hyderabad,07-01-2016,July,2016,1113896
Hyderabad,08-01-2016,August,2016,1073979
Hyderabad,09-01-2016,September,2016,842384
Hyderabad,10-01-2016,October,2016,914768
Hyderabad,11-01-2016,November,2016,917817
Hyderabad,12-01-2016,December,2016,1243122
Jagtial ,01-01-2016,January,2016,NULL
Jagtial ,02-01-2016,February,2016,NULL
Jagtial ,03-01-2016,March,2016,NULL
Jagtial ,04-01-2016,April,2016,NULL
Jagtial ,05-01-2016,May,2016,NULL
Jagtial ,06-01-2016,June,2016,NULL
Jagtial ,07-01-2016,July,2016,NULL
Jagtial ,08-01-2016,August,2016,NULL
Jagtial ,09-01-2016,September,2016,NULL
Jagtial ,10-01-2016,October,2016,201249
Jagtial ,11-01-2016,November,2016,214534
Jagtial ,12-01-2016,December,2016,207294
Jangaon ,01-01-2016,January,2016,NULL
